0,1,0
0,1,0
0.03;0.03,1,200
2.66,1,200
0,1.35,0
0,1,0
0.39;0.09;0.07,1.55,200|200
0,1,0
0,1,204
0,1,0
0,1,0
0.03,1,200
0,1,204
0,1,0
0.28;0.03,1,200
0.28,1,200
1.03;0.42;0.01,1,200
0,1,0
0,1.35,0
0,1,0
0,1,204
0,1,0
0,1,0
0.08;0.07,1,200
0,1,0
0,1,204
0,1.85,0
0,1,0
0,2.15,0
0,1,0
0.32;0.02,1,200
0,1,0
0.01,1,200
0,1,0
0,1,204
0,1,0
0,1,0
0,1,0
0.29;0.08;0.08,1,200
0,1,0
0.03,1,200
0,1,0
0.02,1,200
0.08,1,200
0.07;0.03;0.01,1,200
0.03,1,200
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
1.19,1,200
0,1,0
1.82;0.29;0.28;0.24;0.23,1,200
3.4;0.29;0.08;0.02;0.01,1,200
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1.35,0
0,1,0
0,1,0
0.12;0.01,1,200
0.02,1,200
0.01,1.35,200
0,1.35,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0.32;0.17;0.12;0.07;0.04,1,200
0,1,0
0,1,0
0,1,0
0,1,0
0.28;0.07,1,200
0,1,0
0,1,204
0.02,1,200
0,1,0
0,1,0
0,1,0
0,1,0
0.02,1,200
0,1,204
0,1,204
0,1,0
0.04,1,200
0,1,0
9.97;1.14;0.36;0.12;0.09,1,200
0,1,0
0,1,0
0,1,0
0,1,204
0,1,0
0,1,0
0,1,0
0.12;0.02,1,200
0,1,0
0,1,0
0,1,0
0,1.35,0|0
0,1,0
0.12,1,200
0,1,204
0,1,0
0,1.35,0
0,1,0
0.42;0.12;0.02,1,200
0,1,0
0.24;0.06;0.03,1,200
0,1,0
0,1,0
0,1,0
